Level,DepthID,VIEW_TIME,SubjID
3,1.0,3.52391362,20daf15f4220ea0d3cb7963075bad3ba
3,3.0,4.378012,20daf15f4220ea0d3cb7963075bad3ba
3,3.0,6.216205,20daf15f4220ea0d3cb7963075bad3ba
3,1.0,6.030613,20daf15f4220ea0d3cb7963075bad3ba
1,3.0,2.47220588,5019179116ddf2859f3c057eb88a2a0e
1,2.0,1.25922382,5019179116ddf2859f3c057eb88a2a0e
1,2.0,1.7397901999999998,5019179116ddf2859f3c057eb88a2a0e
1,1.0,2.36947918,5019179116ddf2859f3c057eb88a2a0e
1,1.0,1.027296,5019179116ddf2859f3c057eb88a2a0e
1,2.0,2.28658938,5019179116ddf2859f3c057eb88a2a0e
1,2.0,2.22029757,5019179116ddf2859f3c057eb88a2a0e
1,3.0,3.76133561,5019179116ddf2859f3c057eb88a2a0e
1,1.0,2.79990435,5019179116ddf2859f3c057eb88a2a0e
1,1.0,1.5244379,5019179116ddf2859f3c057eb88a2a0e
1,2.0,1.9552567,5019179116ddf2859f3c057eb88a2a0e
1,2.0,2.86665225,5019179116ddf2859f3c057eb88a2a0e
1,2.0,3.214211,5019179116ddf2859f3c057eb88a2a0e
1,1.0,3.47970247,5019179116ddf2859f3c057eb88a2a0e
1,1.0,1.4581620000000002,5019179116ddf2859f3c057eb88a2a0e
1,3.0,1.01076841,5019179116ddf2859f3c057eb88a2a0e
1,2.0,1.02735329,5019179116ddf2859f3c057eb88a2a0e
1,3.0,1.07704282,5019179116ddf2859f3c057eb88a2a0e
1,1.0,1.35872865,5019179116ddf2859f3c057eb88a2a0e
1,3.0,2.41910052,5019179116ddf2859f3c057eb88a2a0e
1,2.0,1.2427665,5019179116ddf2859f3c057eb88a2a0e
1,3.0,1.44159794,5019179116ddf2859f3c057eb88a2a0e
1,1.0,3.96025276,5019179116ddf2859f3c057eb88a2a0e
1,3.0,3.62885118,5019179116ddf2859f3c057eb88a2a0e
1,1.0,1.62365448,5019179116ddf2859f3c057eb88a2a0e
1,3.0,1.5741718999999998,5019179116ddf2859f3c057eb88a2a0e
1,3.0,0.9113469,5019179116ddf2859f3c057eb88a2a0e
1,1.0,2.48547649,5019179116ddf2859f3c057eb88a2a0e
1,2.0,3.645381,5019179116ddf2859f3c057eb88a2a0e
1,3.0,1.97181678,5019179116ddf2859f3c057eb88a2a0e
2,3.0,2.936307,5019179116ddf2859f3c057eb88a2a0e
2,1.0,4.88809061,5019179116ddf2859f3c057eb88a2a0e
2,3.0,1.44162691,5019179116ddf2859f3c057eb88a2a0e
2,1.0,2.13714862,5019179116ddf2859f3c057eb88a2a0e
2,1.0,2.58486581,5019179116ddf2859f3c057eb88a2a0e
2,1.0,1.292465,5019179116ddf2859f3c057eb88a2a0e
2,3.0,2.94947767,5019179116ddf2859f3c057eb88a2a0e
2,2.0,1.19304764,5019179116ddf2859f3c057eb88a2a0e
2,1.0,1.97184408,5019179116ddf2859f3c057eb88a2a0e
2,1.0,2.41915774,5019179116ddf2859f3c057eb88a2a0e
2,1.0,0.9113293,5019179116ddf2859f3c057eb88a2a0e
2,1.0,2.89975023,5019179116ddf2859f3c057eb88a2a0e
2,1.0,1.64040327,5019179116ddf2859f3c057eb88a2a0e
2,1.0,3.26427126,5019179116ddf2859f3c057eb88a2a0e
2,2.0,1.72318983,5019179116ddf2859f3c057eb88a2a0e
2,2.0,2.75059748,5019179116ddf2859f3c057eb88a2a0e
2,1.0,3.57912183,5019179116ddf2859f3c057eb88a2a0e
2,3.0,4.60645628,5019179116ddf2859f3c057eb88a2a0e
2,3.0,4.75559855,5019179116ddf2859f3c057eb88a2a0e
2,2.0,1.408441,5019179116ddf2859f3c057eb88a2a0e
2,3.0,2.53521466,5019179116ddf2859f3c057eb88a2a0e
2,2.0,5.070414,5019179116ddf2859f3c057eb88a2a0e
2,1.0,2.087717,5019179116ddf2859f3c057eb88a2a0e
2,2.0,2.286685,5019179116ddf2859f3c057eb88a2a0e
2,1.0,2.204094,5019179116ddf2859f3c057eb88a2a0e
2,3.0,4.7887373,5019179116ddf2859f3c057eb88a2a0e
2,3.0,2.2535224,5019179116ddf2859f3c057eb88a2a0e
2,3.0,1.90548515,5019179116ddf2859f3c057eb88a2a0e
2,2.0,4.90466833,5019179116ddf2859f3c057eb88a2a0e
2,3.0,2.20379114,5019179116ddf2859f3c057eb88a2a0e
3,1.0,1.656953,5019179116ddf2859f3c057eb88a2a0e
3,1.0,4.57334232,5019179116ddf2859f3c057eb88a2a0e
3,1.0,7.19133425,5019179116ddf2859f3c057eb88a2a0e
3,3.0,2.73401618,5019179116ddf2859f3c057eb88a2a0e
3,3.0,1.73984,5019179116ddf2859f3c057eb88a2a0e
3,3.0,2.61807513,5019179116ddf2859f3c057eb88a2a0e
3,1.0,3.51279044,5019179116ddf2859f3c057eb88a2a0e
3,3.0,3.44683862,5019179116ddf2859f3c057eb88a2a0e
3,3.0,1.67360365,5019179116ddf2859f3c057eb88a2a0e
3,2.0,2.419176,5019179116ddf2859f3c057eb88a2a0e
3,2.0,4.059591,5019179116ddf2859f3c057eb88a2a0e
3,1.0,3.57906032,5019179116ddf2859f3c057eb88a2a0e
3,3.0,4.125854,5019179116ddf2859f3c057eb88a2a0e
3,2.0,2.96605968,5019179116ddf2859f3c057eb88a2a0e
3,3.0,5.6172260000000005,5019179116ddf2859f3c057eb88a2a0e
3,3.0,1.92213523,5019179116ddf2859f3c057eb88a2a0e
3,1.0,5.56762,5019179116ddf2859f3c057eb88a2a0e
3,1.0,5.865374,5019179116ddf2859f3c057eb88a2a0e
3,1.0,4.291674,5019179116ddf2859f3c057eb88a2a0e
3,3.0,2.8500607,5019179116ddf2859f3c057eb88a2a0e
3,1.0,2.73407173,5019179116ddf2859f3c057eb88a2a0e
3,3.0,3.612261,5019179116ddf2859f3c057eb88a2a0e
3,2.0,4.62315,5019179116ddf2859f3c057eb88a2a0e
3,2.0,3.89371538,5019179116ddf2859f3c057eb88a2a0e
3,3.0,2.12096477,5019179116ddf2859f3c057eb88a2a0e
3,2.0,2.73406315,5019179116ddf2859f3c057eb88a2a0e
3,2.0,5.285901,5019179116ddf2859f3c057eb88a2a0e
3,3.0,1.83927763,5019179116ddf2859f3c057eb88a2a0e
3,2.0,4.02645445,5019179116ddf2859f3c057eb88a2a0e
1,1.0,14.3180428,ce848a2d7c1c5801ab151f4f6ad18bf5
1,3.0,6.61180067,ce848a2d7c1c5801ab151f4f6ad18bf5
1,2.0,10.9590521,ce848a2d7c1c5801ab151f4f6ad18bf5
