Level,DepthID,SUCCESSFUL,SubjID
1,1.0,1,3c7b1fce66c1f8602ada814962e7a843
1,2.0,1,3c7b1fce66c1f8602ada814962e7a843
1,2.0,1,3c7b1fce66c1f8602ada814962e7a843
1,1.0,1,3c7b1fce66c1f8602ada814962e7a843
1,2.0,1,3c7b1fce66c1f8602ada814962e7a843
1,3.0,1,3c7b1fce66c1f8602ada814962e7a843
1,1.0,1,3c7b1fce66c1f8602ada814962e7a843
1,1.0,1,3c7b1fce66c1f8602ada814962e7a843
1,2.0,1,3c7b1fce66c1f8602ada814962e7a843
1,1.0,1,3c7b1fce66c1f8602ada814962e7a843
1,1.0,1,3c7b1fce66c1f8602ada814962e7a843
1,3.0,1,3c7b1fce66c1f8602ada814962e7a843
1,2.0,1,3c7b1fce66c1f8602ada814962e7a843
1,1.0,1,3c7b1fce66c1f8602ada814962e7a843
1,3.0,1,3c7b1fce66c1f8602ada814962e7a843
1,2.0,1,3c7b1fce66c1f8602ada814962e7a843
1,2.0,1,3c7b1fce66c1f8602ada814962e7a843
1,3.0,1,3c7b1fce66c1f8602ada814962e7a843
1,3.0,1,3c7b1fce66c1f8602ada814962e7a843
1,1.0,1,3c7b1fce66c1f8602ada814962e7a843
1,3.0,1,3c7b1fce66c1f8602ada814962e7a843
1,2.0,1,3c7b1fce66c1f8602ada814962e7a843
