Level,DepthID,TOTAL_TIME,SubjID
2,3.0,4.77212858,271128a1bc0c48f5b44eb428989c7d17
2,1.0,4.29831934,271128a1bc0c48f5b44eb428989c7d17
2,3.0,6.176709,271128a1bc0c48f5b44eb428989c7d17
2,2.0,5.059843,271128a1bc0c48f5b44eb428989c7d17
2,2.0,11.9071836,271128a1bc0c48f5b44eb428989c7d17
2,1.0,4.907514,271128a1bc0c48f5b44eb428989c7d17
2,3.0,8.681292,271128a1bc0c48f5b44eb428989c7d17
2,1.0,5.19523859,271128a1bc0c48f5b44eb428989c7d17
2,1.0,3.87522936,271128a1bc0c48f5b44eb428989c7d17
3,3.0,28.2892647,271128a1bc0c48f5b44eb428989c7d17
3,3.0,10.723725300000002,271128a1bc0c48f5b44eb428989c7d17
3,2.0,7.68279648,271128a1bc0c48f5b44eb428989c7d17
3,3.0,6.670558,271128a1bc0c48f5b44eb428989c7d17
3,3.0,7.10745859,271128a1bc0c48f5b44eb428989c7d17
3,2.0,11.4565086,271128a1bc0c48f5b44eb428989c7d17
3,3.0,6.56905746,271128a1bc0c48f5b44eb428989c7d17
3,2.0,7.9700675,271128a1bc0c48f5b44eb428989c7d17
3,3.0,6.48126125,271128a1bc0c48f5b44eb428989c7d17
3,3.0,13.6937809,271128a1bc0c48f5b44eb428989c7d17
3,1.0,4.31526327,271128a1bc0c48f5b44eb428989c7d17
3,2.0,9.51043,271128a1bc0c48f5b44eb428989c7d17
3,1.0,9.831949,271128a1bc0c48f5b44eb428989c7d17
3,1.0,5.076752,271128a1bc0c48f5b44eb428989c7d17
3,1.0,4.61980724,271128a1bc0c48f5b44eb428989c7d17
3,2.0,6.48131561,271128a1bc0c48f5b44eb428989c7d17
3,3.0,7.161339,271128a1bc0c48f5b44eb428989c7d17
3,1.0,5.550573,271128a1bc0c48f5b44eb428989c7d17
3,3.0,9.66277,271128a1bc0c48f5b44eb428989c7d17
3,2.0,15.14562,271128a1bc0c48f5b44eb428989c7d17
3,1.0,9.104303,271128a1bc0c48f5b44eb428989c7d17
3,1.0,5.161329,271128a1bc0c48f5b44eb428989c7d17
3,1.0,7.25981569,271128a1bc0c48f5b44eb428989c7d17
3,2.0,57.7226944,271128a1bc0c48f5b44eb428989c7d17
3,3.0,8.901266,271128a1bc0c48f5b44eb428989c7d17
3,1.0,7.09357262,271128a1bc0c48f5b44eb428989c7d17
3,2.0,12.7934475,271128a1bc0c48f5b44eb428989c7d17
3,3.0,9.29046,271128a1bc0c48f5b44eb428989c7d17
3,3.0,10.0181389,271128a1bc0c48f5b44eb428989c7d17
3,2.0,8.275157,271128a1bc0c48f5b44eb428989c7d17
1,1.0,9.613521,3c7b1fce66c1f8602ada814962e7a843
1,3.0,15.0564766,3c7b1fce66c1f8602ada814962e7a843
1,1.0,11.9919024,3c7b1fce66c1f8602ada814962e7a843
1,2.0,19.4035645,3c7b1fce66c1f8602ada814962e7a843
1,2.0,12.0251837,3c7b1fce66c1f8602ada814962e7a843
1,1.0,6.47890472,3c7b1fce66c1f8602ada814962e7a843
1,2.0,8.644142,3c7b1fce66c1f8602ada814962e7a843
1,3.0,17.288311,3c7b1fce66c1f8602ada814962e7a843
1,1.0,7.07850266,3c7b1fce66c1f8602ada814962e7a843
1,1.0,6.928625,3c7b1fce66c1f8602ada814962e7a843
1,2.0,9.227088,3c7b1fce66c1f8602ada814962e7a843
1,1.0,4.88003874,3c7b1fce66c1f8602ada814962e7a843
1,1.0,4.26376963,3c7b1fce66c1f8602ada814962e7a843
1,3.0,6.46232462,3c7b1fce66c1f8602ada814962e7a843
1,2.0,19.3535538,3c7b1fce66c1f8602ada814962e7a843
1,1.0,8.094522999999999,3c7b1fce66c1f8602ada814962e7a843
1,3.0,10.526228,3c7b1fce66c1f8602ada814962e7a843
1,2.0,6.295708,3c7b1fce66c1f8602ada814962e7a843
1,2.0,5.21313667,3c7b1fce66c1f8602ada814962e7a843
1,3.0,13.9239264,3c7b1fce66c1f8602ada814962e7a843
1,3.0,8.177786,3c7b1fce66c1f8602ada814962e7a843
1,1.0,4.82966,3c7b1fce66c1f8602ada814962e7a843
1,3.0,22.35106,3c7b1fce66c1f8602ada814962e7a843
1,2.0,6.811578,3c7b1fce66c1f8602ada814962e7a843
1,2.0,3.66396284,3c7b1fce66c1f8602ada814962e7a843
1,1.0,26.531824100000005,3c7b1fce66c1f8602ada814962e7a843
1,2.0,6.01268625,3c7b1fce66c1f8602ada814962e7a843
1,3.0,5.37945032,3c7b1fce66c1f8602ada814962e7a843
1,3.0,24.9331341,3c7b1fce66c1f8602ada814962e7a843
1,3.0,6.312499,3c7b1fce66c1f8602ada814962e7a843
2,2.0,44.1068573,3c7b1fce66c1f8602ada814962e7a843
2,2.0,5.42971,3c7b1fce66c1f8602ada814962e7a843
2,3.0,6.478962,3c7b1fce66c1f8602ada814962e7a843
2,2.0,6.745445,3c7b1fce66c1f8602ada814962e7a843
2,1.0,21.6519966,3c7b1fce66c1f8602ada814962e7a843
